Phase,Subjects,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Baseline,118,0.283,0.263,0.23,0,0.236,0.279,0,0.253,0.326,0.334,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseline,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseline,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseline,122,0,0,0.419,0,0,0,0,0,0,1.37,0,0,0,0,0.48,0,0,0,0,2.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseline,123,0,0,0,0,0,0,0,0,0,1.542,0,0.361,0,0,1.31,0,0,0,1.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseline,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseline,125,0,0.241,0,0.256,0,3.405,0.914,2.526,0,0,0.318,0.427,0,0.587,0,0,0,0,0,0,0,0,0,0.244,0.202,0.254,0,0.325,0,nan,0,0.241,0,1.263,0,0.576,0,0,0,0,0,0,0,0,0,0.605,0,0
Conditioning,1,1.779,1.182,1.498,0.752,0.717,0,0.399,1.762,1.132,0.706,0,1.559,0,1.57,0,0.375,0,1.118,0.746,0.534,1.3,0.289,1.303,0.593,1.225,2.9,0.277,0.253,2.044,0.46,0,0.779,0,1.231,0.267,1.535,0,0,0,2.816,0,0.354,0.582,0,0,0.915,0,0.303
Conditioning,2,0.872,1.725,1.443,2.568,0.617,0.727,1.072,0.46,0.971,0.289,0,0,1.399,0,0,0.376,0,4.238,0,2.738,0,1.483,1.557,0,0,4.481,0,0,1.409,0.473,0,1.046,0,0,0,0.535,4.776,0,0.207,0,0,0,3.863,0,0,0,0,0
Conditioning,3,2.227,1.399,0.91,1.142,0.666,0,0,0.34,0.837,0,0.752,0,3.067,0,1.092,1.261,0.387,1.882,0,0,0,0.814,1.165,0,0,3.593,0,0,1.46,0,1.264,2.859,0,0,0,0,0,0,0,0,0.996,0,0,0,0.666,0,0,0
Conditioning,4,1.486,0,0.779,0,0,0.668,0,0.886,0,0,0,0,0,0,0,0,0,3.813,0,0,0,0,0,0,0.364,3.666,0,0,0.544,1.304,0,0,0.668,0.607,0,0,1.484,0,0,2.046,0,0,0,0,0,0,0,0
