subject,stimulus,source_memory,typicality,trial_type,encode_phase,recognition_memory,group,hc_acc
3,tools/mallet.jpg,1,1,CS-,acquisition,DN,healthy,0
3,tools/levelmount.jpg,2,1,CS-,acquisition,DN,healthy,0
3,tools/tubeflaring.jpg,1,2,CS-,acquisition,DN,healthy,0
3,tools/broom.jpg,1,6,CS-,acquisition,MO,healthy,0
3,tools/bucket.jpg,3,7,CS-,extinction,MO,healthy,0
3,tools/campingstove.jpg,1,1,CS-,extinction,DN,healthy,0
3,tools/squeegee.jpg,2,1,CS-,extinction,MO,healthy,0
3,tools/screwdriver.jpg,1,6,CS-,extinction,DO,healthy,1
3,tools/camera.jpg,1,1,CS-,extinction,DN,healthy,0
3,tools/jumpercables.jpg,1,5,CS-,extinction,DN,healthy,0
3,tools/duffelbag.jpg,2,5,CS-,extinction,MO,healthy,0
3,tools/chainsaw.jpg,2,5,CS-,extinction,MO,healthy,0
4,animals/camel.jpg,1,3,CS-,acquisition,DO,healthy,1
4,tools/squeegee.jpg,2,4,CS+,extinction,DO,healthy,1
4,tools/sparkplug.jpg,2,1,CS+,acquisition,MO,healthy,0
4,tools/hammer.jpg,3,7,CS+,extinction,MO,healthy,0
4,animals/giraffe.jpg,3,5,CS-,baseline,DO,healthy,1
4,tools/measuringcups.jpg,2,4,CS+,acquisition,DO,healthy,1
4,animals/mouse.jpg,1,5,CS-,acquisition,DO,healthy,1
4,tools/shoehorn.jpg,3,1,CS+,baseline,DO,healthy,1
4,tools/rollingpin.jpg,2,6,CS+,baseline,MO,healthy,0
4,animals/turkey.jpg,3,3,CS-,acquisition,MN,healthy,0
4,animals/rabbit.jpg,2,7,CS-,acquisition,DO,healthy,1
4,tools/videogamecontroller.jpg,3,5,CS+,extinction,DO,healthy,1
4,tools/ropeandpulley.jpg,2,2,CS+,baseline,DO,healthy,1
4,tools/carpetblower.jpg,3,2,CS+,extinction,MO,healthy,0
4,animals/ostrich.jpg,2,4,CS-,baseline,DO,healthy,1
4,tools/pruner.jpg,1,6,CS+,acquisition,MN,healthy,0
4,tools/microwave.jpg,3,5,CS+,extinction,MN,healthy,0
4,tools/chainsaw.jpg,1,6,CS+,extinction,DO,healthy,1
4,tools/cheesegrater.jpg,3,5,CS+,baseline,DO,healthy,1
4,animals/carp.jpg,2,7,CS-,acquisition,DO,healthy,1
4,tools/spoon.jpg,1,7,CS+,acquisition,DO,healthy,1
4,tools/stove.jpg,3,3,CS+,baseline,MN,healthy,0
4,animals/aardvark.jpg,1,1,CS-,extinction,MO,healthy,0
4,animals/caterpillarpeacockmoth.jpg,2,3,CS-,baseline,DO,healthy,1
4,tools/vegetablepeeler.jpg,3,2,CS+,acquisition,MO,healthy,0
4,animals/assassinbug.jpg,1,5,CS-,acquisition,MN,healthy,0
4,animals/zebra.jpg,2,7,CS-,extinction,DO,healthy,1
4,animals/quail.jpg,2,5,CS-,baseline,MO,healthy,0
4,animals/shark.jpg,2,5,CS-,acquisition,DO,healthy,1
4,animals/mahimahi.jpg,3,1,CS-,acquisition,DO,healthy,1
4,animals/canary.jpg,3,6,CS-,extinction,DO,healthy,1
4,tools/tubeflaring.jpg,2,1,CS+,acquisition,MN,healthy,0
4,tools/paintbrush.jpg,1,4,CS+,extinction,MO,healthy,0
4,tools/faxmachine.jpg,3,6,CS+,baseline,DN,healthy,0
4,animals/pigeon.jpg,1,4,CS-,baseline,DO,healthy,1
4,animals/snapper.jpg,3,3,CS-,baseline,DO,healthy,1
4,animals/elephantafrican.jpg,1,7,CS-,extinction,DO,healthy,1
4,animals/mole.jpg,3,1,CS-,baseline,DO,healthy,1
4,animals/goldfish.jpg,1,7,CS-,extinction,DO,healthy,1
4,animals/hummingbird.jpg,2,4,CS-,baseline,DO,healthy,1
4,animals/perch.jpg,2,5,CS-,extinction,MN,healthy,0
4,tools/viceclamp.jpg,1,1,CS+,acquisition,MO,healthy,0
4,tools/transmissionwrench.jpg,1,1,CS+,baseline,MN,healthy,0
4,tools/solderingtorch.jpg,3,3,CS+,extinction,DO,healthy,1
4,tools/woodchipper.jpg,2,1,CS+,acquisition,MO,healthy,0
4,tools/ladder.jpg,3,1,CS+,baseline,DN,healthy,0
4,animals/racoon.jpg,2,5,CS-,extinction,MO,healthy,0
4,animals/reindeer.jpg,3,1,CS-,extinction,MO,healthy,0
4,animals/leopard.jpg,2,5,CS-,baseline,MN,healthy,0
4,animals/porcupine.jpg,2,2,CS-,baseline,DO,healthy,1
4,animals/herculesbeetle.jpg,1,4,CS-,baseline,DO,healthy,1
4,animals/baboon.jpg,2,5,CS-,baseline,DO,healthy,1
4,animals/flea.jpg,1,1,CS-,baseline,DO,healthy,1
4,animals/cow.jpg,1,7,CS-,baseline,MN,healthy,0
4,animals/pelican.jpg,2,4,CS-,baseline,MO,healthy,0
4,animals/tiger.jpg,3,6,CS-,baseline,MN,healthy,0
4,animals/catfish.jpg,1,3,CS-,acquisition,DO,healthy,1
4,animals/snail.jpg,2,2,CS-,acquisition,DO,healthy,1
4,animals/mink.jpg,3,2,CS-,acquisition,DO,healthy,1
4,animals/chipmunk.jpg,1,5,CS-,acquisition,MO,healthy,0
4,animals/herring.jpg,1,5,CS-,acquisition,MO,healthy,0
4,animals/brown_bear.jpg,3,7,CS-,acquisition,DO,healthy,1
4,animals/partridge.jpg,2,5,CS-,acquisition,MO,healthy,0
4,animals/palmcockatoo.jpg,1,5,CS-,acquisition,DN,healthy,0
4,animals/cat.jpg,2,7,CS-,extinction,DO,healthy,1
4,animals/horse.jpg,3,7,CS-,extinction,MN,healthy,0
4,animals/cranebug.jpg,2,6,CS-,extinction,MO,healthy,0
4,animals/flamingo.jpg,2,7,CS-,extinction,DN,healthy,0
4,animals/finch.jpg,2,4,CS-,extinction,MN,healthy,0
4,animals/marmot.jpg,2,5,CS-,extinction,DO,healthy,1
4,animals/caterpillarhawkmoth.jpg,1,6,CS-,extinction,DO,healthy,1
4,animals/salmon.jpg,1,5,CS-,extinction,MN,healthy,0
4,tools/beadingtool.jpg,3,1,CS+,baseline,DO,healthy,1
4,tools/hairdryer.jpg,1,7,CS+,baseline,DO,healthy,1
