,subject,encode_phase,condition,hit_rate,false_alarm_rate,corrected_recognition
250,122,acquisition,CS-,0.20833333333333331,0.125,0.08333333333333334
246,122,baseline,CS+,0.7083333333333334,0.3958333333333333,0.3125000000000001
249,122,baseline,CS-,0.3333333333333333,0.125,0.2083333333333333
248,122,extinction,CS+,0.75,0.3958333333333333,0.3541666666666667
251,122,extinction,CS-,0.25,0.125,0.125
253,123,acquisition,CS+,0.9166666666666666,0.1875,0.7291666666666666
256,123,acquisition,CS-,0.5833333333333334,0.16666666666666666,0.4166666666666667
252,123,baseline,CS+,0.6666666666666666,0.1875,0.4791666666666666
255,123,baseline,CS-,0.7083333333333334,0.16666666666666666,0.5416666666666667
254,123,extinction,CS+,0.5833333333333334,0.1875,0.39583333333333337
257,123,extinction,CS-,0.4166666666666667,0.16666666666666666,0.25
259,124,acquisition,CS+,0.125,0.02083333333333333,0.10416666666666667
262,124,acquisition,CS-,0.3333333333333333,0.08333333333333333,0.25
258,124,baseline,CS+,0.5833333333333334,0.02083333333333333,0.5625
261,124,baseline,CS-,0.75,0.08333333333333333,0.6666666666666666
260,124,extinction,CS+,0.20833333333333331,0.02083333333333333,0.1875
263,124,extinction,CS-,0.20833333333333331,0.08333333333333333,0.125
265,125,acquisition,CS+,0.7083333333333334,0.04166666666666666,0.6666666666666667
268,125,acquisition,CS-,0.875,0.04166666666666666,0.8333333333333334
264,125,baseline,CS+,0.5833333333333334,0.04166666666666666,0.5416666666666667
267,125,baseline,CS-,0.75,0.04166666666666666,0.7083333333333334
266,125,extinction,CS+,0.4583333333333333,0.04166666666666666,0.4166666666666666
269,125,extinction,CS-,0.5833333333333334,0.04166666666666666,0.5416666666666667
